station 1				station 2                                                Desire Output
t-3	t-2	t-1	t-0	t-3	t-2	t-1	t-0	t+7
95	95	95	95	148	149	150	150	153
95	95	95	95	149	150	150	150	153
95	95	95	95	150	150	150	150	153
95	95	95	95	150	150	150	150	153
95	95	95	95	150	150	150	152	153
95	95	95	95	150	150	152	152	153
95	95	95	96	150	152	152	153	153
95	95	96	97	152	152	153	153	153
95	96	97	98	152	153	153	153	153
96	97	98	100	153	153	153	153	154
97	98	100	100	153	153	153	153	155
98	100	100	100	153	153	153	153	156
100	100	100	101	153	153	153	153	156
100	100	101	101	153	153	153	153	156
100	101	101	102	153	153	153	153	156
101	101	102	102	153	153	153	153	160
101	102	102	103	153	153	153	154	164
102	102	103	104	153	153	154	155	165
102	103	104	105	153	154	155	156	168
103	104	105	106	154	155	156	156	172
104	105	106	109	155	156	156	156	178
105	106	109	113	156	156	156	156	188
106	109	113	120	156	156	156	160	192
109	113	120	134	156	156	160	164	207
113	120	134	143	156	160	164	165	224
120	134	143	162	160	164	165	168	237
134	143	162	184	164	165	168	172	246
143	162	184	204	165	168	172	178	259
162	184	204	228	168	172	178	188	270
184	204	228	250	172	178	188	192	280
204	228	250	277	178	188	192	207	290
228	250	277	295	188	192	207	224	297
250	277	295	300	192	207	224	237	303
277	295	300	320	207	224	237	246	314
295	300	320	330	224	237	246	259	326
300	320	330	349	237	246	259	270	340
320	330	349	368	246	259	270	280	362
330	349	368	385	259	270	280	290	390
349	368	385	445	270	280	290	297	412
368	385	445	465	280	290	297	303	435
385	445	465	514	290	297	303	314	447
445	465	514	550	297	303	314	326	465
465	514	550	573	303	314	326	340	468
514	550	573	586	314	326	340	362	470
550	573	586	588	326	340	362	390	472
573	586	588	594	340	362	390	412	475
586	588	594	598	362	390	412	435	478
588	594	598	602	390	412	435	447	481
594	598	602	606	412	435	447	465	483
598	602	606	609	435	447	465	468	485
602	606	609	612	447	465	468	470	486
606	609	612	616	465	468	470	472	488
609	612	616	620	468	470	472	475	489
612	616	620	624	470	472	475	478	490
616	620	624	626	472	475	478	481	490
620	624	626	628	475	478	481	483	490
624	626	628	628	478	481	483	485	490
626	628	628	628	481	483	485	486	490
628	628	628	627	483	485	486	488	490
628	628	627	624	485	486	488	489	490
628	627	624	618	486	488	489	490	490
627	624	618	613	488	489	490	490	489
624	618	613	608	489	490	490	490	488
618	613	608	604	490	490	490	490	486
613	608	604	596	490	490	490	490	484
608	604	596	592	490	490	490	490	481
604	596	592	586	490	490	490	490	478
596	592	586	580	490	490	490	490	475
592	586	580	576	490	490	490	489	470
586	580	576	570	490	490	489	488	468
580	576	570	564	490	489	488	486	464
576	570	564	556	489	488	486	484	460
570	564	556	544	488	486	484	481	456
564	556	544	520	486	484	481	478	451
556	544	520	510	484	481	478	475	448
544	520	510	504	481	478	475	470	444
520	510	504	496	478	475	470	468	440
510	504	496	490	475	470	468	464	436
504	496	490	484	470	468	464	460	431
496	490	484	476	468	464	460	456	427
490	484	476	470	464	460	456	451	422
484	476	470	464	460	456	451	448	416
476	470	464	457	456	451	448	444	410
470	464	457	452	451	448	444	440	404
464	457	452	448	448	444	440	436	396
457	452	448	442	444	440	436	431	390
452	448	442	437	440	436	431	427	382
448	442	437	432	436	431	427	422	376
442	437	432	426	431	427	422	416	368
437	432	426	421	427	422	416	410	360
432	426	421	416	422	416	410	404	356
426	421	416	411	416	410	404	396	351
421	416	411	406	410	404	396	390	344
416	411	406	400	404	396	390	382	339
411	406	400	396	396	390	382	376	335
406	400	396	391	390	382	376	368	329
400	396	391	386	382	376	368	360	327
396	391	386	382	376	368	360	356	323
391	386	382	377	368	360	356	351	319
386	382	377	372	360	356	351	344	315
382	377	372	370	356	351	344	339	311
377	372	370	364	351	344	339	335	308
372	370	364	359	344	339	335	329	306
370	364	359	354	339	335	329	327	303
364	359	354	350	335	329	327	323	300
359	354	350	345	329	327	323	319	296
354	350	345	341	327	323	319	315	294
350	345	341	337	323	319	315	311	292
345	341	337	334	319	315	311	308	288
341	337	334	330	315	311	308	306	286
337	334	330	328	311	308	306	303	284
334	330	328	326	308	306	303	300	280
330	328	326	324	306	303	300	296	276
328	326	324	322	303	300	296	294	274
326	324	322	320	300	296	294	292	271
324	322	320	319	296	294	292	288	268
322	320	319	318	294	292	288	286	265
320	319	318	317	292	288	286	284	262
319	318	317	316	288	286	284	280	259
318	317	316	314	286	284	280	276	256
317	316	314	313	284	280	276	274	253
316	314	313	312	280	276	274	271	253
314	313	312	312	276	274	271	268	252
313	312	312	311	274	271	268	265	252
312	312	311	310	271	268	265	262	251
312	311	310	310	268	265	262	259	250
311	310	310	290	265	262	259	256	249
310	310	290	288	262	259	256	253	248
310	290	288	287	259	256	253	253	247
290	288	287	285	256	253	253	252	247
288	287	285	282	253	253	252	252	247
287	285	282	280	253	252	252	251	246
285	282	280	276	252	252	251	250	246
282	280	276	273	252	251	250	249	245
280	276	273	269	251	250	249	248	245
276	273	269	265	250	249	248	247	244
273	269	265	261	249	248	247	247	243
269	265	261	258	248	247	247	247	242
265	261	258	256	247	247	247	246	241
261	258	256	276	247	247	246	246	240
258	256	276	272	247	246	246	245	239
256	276	272	270	246	246	245	245	238
276	272	270	267	246	245	245	244	236
272	270	267	262	245	245	244	243	234
270	267	262	258	245	244	243	242	235
267	262	258	257	244	243	242	241	234
262	258	257	256	243	242	241	240	233
258	257	256	256	242	241	240	239	232
257	256	256	255	241	240	239	238	231
256	256	255	256	240	239	238	236	230
256	255	256	256	239	238	236	234	230
255	256	256	256	238	236	234	235	231
256	256	256	256	236	234	235	234	232
256	256	256	256	234	235	234	233	234
256	256	256	256	235	234	233	232	236
256	256	256	256	234	233	232	231	240
250	250	250	240	215	210	210	209	208
250	250	240	240	210	210	209	209	208
250	240	240	240	210	209	209	209	208
240	240	240	240	209	209	209	209	209
240	240	240	240	209	209	209	209	209
240	240	240	240	209	209	209	208	209
240	240	240	240	209	209	208	208	209
240	240	240	240	209	208	208	208	209
240	240	240	241	208	208	208	208	209
240	240	241	242	208	208	208	208	210
240	241	242	242	208	208	208	209	210
241	242	242	243	208	208	209	209	211
242	242	243	243	208	209	209	209	211
242	243	243	242	209	209	209	209	212
243	243	242	242	209	209	209	209	213
243	242	242	241	209	209	209	209	213
242	242	241	240	209	209	209	210	214
242	241	240	239	209	209	210	210	214
241	240	239	238	209	210	210	211	214
240	239	238	237	210	210	211	211	215
239	238	237	236	210	211	211	212	215
238	237	236	235	211	211	212	213	215
237	236	235	234	211	212	213	213	215
236	235	234	233	212	213	213	214	216
235	234	233	232	213	213	214	214	217
234	233	232	231	213	214	214	214	218
233	232	231	230	214	214	214	215	221
232	231	230	235	214	214	215	215	225
231	230	235	240	214	215	215	215	230
230	235	240	246	215	215	215	215	232
235	240	246	245	215	215	215	216	235
240	246	245	245	215	215	216	217	238
246	245	245	250	215	216	217	218	240
245	245	250	257	216	217	218	221	245
245	250	257	263	217	218	221	225	250
250	257	263	266	218	221	225	230	255
257	263	266	268	221	225	230	232	260
263	266	268	269	225	230	232	235	270
266	268	269	270	230	232	235	238	288
268	269	270	274	232	235	238	240	300
269	270	274	277	235	238	240	245	314
270	274	277	281	238	240	245	250	328
274	277	281	297	240	245	250	255	340
277	281	297	300	245	250	255	260	350
281	297	300	320	250	255	260	270	360
297	300	320	344	255	260	270	288	370
300	320	344	358	260	270	288	300	380
320	344	358	370	270	288	300	314	390
344	358	370	380	288	300	314	328	398
358	370	380	394	300	314	328	340	405
370	380	394	404	314	328	340	350	412
380	394	404	413	328	340	350	360	420
394	404	413	421	340	350	360	370	428
404	413	421	432	350	360	370	380	433
413	421	432	443	360	370	380	390	438
421	432	443	454	370	380	390	398	445
432	443	454	464	380	390	398	405	450
443	454	464	476	390	398	405	412	454
454	464	476	485	398	405	412	420	457
464	476	485	496	405	412	420	428	460
476	485	496	508	412	420	428	433	465
485	496	508	517	420	428	433	438	466
496	508	517	523	428	433	438	445	467
508	517	523	529	433	438	445	450	469
517	523	529	535	438	445	450	454	470
523	529	535	540	445	450	454	457	471
529	535	540	542	450	454	457	460	471
535	540	542	543	454	457	460	465	471
540	542	543	543	457	460	465	466	471
542	543	543	543	460	465	466	467	470
543	543	543	543	465	466	467	469	470
543	543	543	542	466	467	469	470	470
